,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
149,27.003,34.789,2019-03-11 00:00:00,6902900,15.621,36.898,2019-02-02 00:00:00,6901862,23.442,34.644,2019-02-21 00:00:00,6901775
150,26.509,35.089,2019-03-12 00:00:00,6902872,17.084,38.553,2019-02-02 00:00:00,6903249,27.107,34.905,2019-02-21 00:00:00,6902900
151,28.976,35.783,2019-03-12 00:00:00,6902874,23.729,39.254,2019-02-02 00:00:00,6903283,12.697,39.287,2019-02-22 00:00:00,6902903
152,7.153,39.624,2019-03-13 00:00:00,6901657,28.861,35.084,2019-02-02 00:00:00,6902902,15.447,37.536,2019-02-22 00:00:00,6903249
153,8.11,42.264,2019-03-13 00:00:00,6902901,28.876,35.173,2019-02-02 00:00:00,6902904,24.247,40.147,2019-02-22 00:00:00,6903283
154,10.065,39.506,2019-03-13 00:00:00,6903238,34.286,33.318,2019-02-02 00:00:00,6901773,27.14,35.213,2019-02-22 00:00:00,6902872
155,17.963,34.35,2019-03-13 00:00:00,6903237,6.049,39.219,2019-02-03 00:00:00,6901774,7.749,42.498,2019-02-23 00:00:00,6902901
156,18.312,41.628,2019-03-13 00:00:00,6903250,26.097,33.279,2019-02-03 00:00:00,6902898,27.078,34.678,2019-02-23 00:00:00,6903247
157,26.985,34.698,2019-03-13 00:00:00,6902873,26.677,34.232,2019-02-03 00:00:00,6903247,34.448,33.357,2019-02-23 00:00:00,6901773
158,27.035,34.758,2019-03-13 00:00:00,6902871,27.377,34.808,2019-02-03 00:00:00,6902900,4.258,40.368,2019-02-24 00:00:00,6902803
159,28.934,35.489,2019-03-13 00:00:00,6902904,3.927,40.699,2019-02-04 00:00:00,6902803,7.032,40.631,2019-02-24 00:00:00,6902804
160,15.74,36.656,2019-03-14 00:00:00,6903249,6.875,40.139,2019-02-04 00:00:00,6902804,23.413,34.682,2019-02-24 00:00:00,6901775
161,26.458,35.056,2019-03-14 00:00:00,6902872,21.388,36.462,2019-02-04 00:00:00,6901772,27.049,34.95,2019-02-24 00:00:00,6902900
162,28.952,35.821,2019-03-14 00:00:00,6902874,27.579,35.215,2019-02-04 00:00:00,6902872,27.076,35.189,2019-02-24 00:00:00,6902872
163,12.621,39.363,2019-03-15 00:00:00,6902903,7.376,42.635,2019-02-05 00:00:00,6902901,21.293,36.523,2019-02-25 00:00:00,6901772
164,27.023,34.698,2019-03-15 00:00:00,6902873,28.394,34.045,2019-02-05 00:00:00,6901764,7.828,42.41,2019-02-26 00:00:00,6902901
165,27.042,34.756,2019-03-15 00:00:00,6902871,28.897,35.133,2019-02-05 00:00:00,6902902,17.947,34.594,2019-02-26 00:00:00,6903237
166,27.195,34.997,2019-03-15 00:00:00,6903247,28.911,35.194,2019-02-05 00:00:00,6902904,17.989,41.317,2019-02-26 00:00:00,6903250
167,8.15,42.336,2019-03-16 00:00:00,6902901,7.348,39.787,2019-02-06 00:00:00,6901657,27.042,35.141,2019-02-26 00:00:00,6902872
168,26.422,35.027,2019-03-16 00:00:00,6902872,17.636,41.621,2019-02-06 00:00:00,6903250,7.163,39.721,2019-02-27 00:00:00,6901657
169,28.93,35.514,2019-03-16 00:00:00,6902904,17.826,34.747,2019-02-06 00:00:00,6903237,15.436,37.255,2019-02-27 00:00:00,6903249
170,34.688,33.72,2019-03-16 00:00:00,6901773,26.031,33.314,2019-02-06 00:00:00,6902898,23.42,34.742,2019-02-27 00:00:00,6901775
171,6.521,39.232,2019-03-17 00:00:00,6901774,27.365,34.843,2019-02-06 00:00:00,6902900,24.172,40.136,2019-02-27 00:00:00,6903283
